dataset,n,m,metodo,obtenido,optimo,esperado,tiempo,k
malo-agm-vec,95,4465,VEC,9119.0,97,9119,0.232051,9025
malo-agm-vec,96,4560,VEC,9311.0,98,9311,0.22451,9216
malo-agm-vec,97,4656,VEC,9505.0,99,9505,0.24857,9409
malo-agm-vec,98,4753,VEC,9701.0,100,9701,0.232971,9604
malo-agm-vec,99,4851,VEC,9899.0,101,9899,0.244617,9801
malo-agm-vec,4,6,AGM,19.0,6,19,0.023791,16
malo-agm-vec,5,10,AGM,29.0,7,29,0.022535,25
malo-agm-vec,6,15,AGM,41.0,8,41,0.024185,36
malo-agm-vec,7,21,AGM,55.0,9,55,0.028491,49
malo-agm-vec,8,28,AGM,71.0,10,71,0.029318,64
malo-agm-vec,9,36,AGM,89.0,11,89,0.027125,81
malo-agm-vec,10,45,AGM,109.0,12,109,0.029503,100
malo-agm-vec,11,55,AGM,131.0,13,131,0.033814,121
malo-agm-vec,12,66,AGM,155.0,14,155,0.044908,144
malo-agm-vec,13,78,AGM,181.0,15,181,0.037798,169
malo-agm-vec,14,91,AGM,209.0,16,209,0.036732,196
malo-agm-vec,15,105,AGM,239.0,17,239,0.043699,225
malo-agm-vec,16,120,AGM,271.0,18,271,0.043715,256
malo-agm-vec,17,136,AGM,305.0,19,305,0.047412,289
malo-agm-vec,18,153,AGM,341.0,20,341,0.065298,324
malo-agm-vec,19,171,AGM,379.0,21,379,0.059696,361
malo-agm-vec,20,190,AGM,419.0,22,419,0.057551,400
malo-agm-vec,21,210,AGM,461.0,23,461,0.057049,441
malo-agm-vec,22,231,AGM,505.0,24,505,0.070021,484
malo-agm-vec,23,253,AGM,551.0,25,551,0.068368,529
malo-agm-vec,24,276,AGM,599.0,26,599,0.096835,576
malo-agm-vec,25,300,AGM,649.0,27,649,0.077302,625
malo-agm-vec,26,325,AGM,701.0,28,701,0.077301,676
malo-agm-vec,27,351,AGM,755.0,29,755,0.08011,729
malo-agm-vec,28,378,AGM,811.0,30,811,0.085649,784
malo-agm-vec,29,406,AGM,869.0,31,869,0.094829,841
malo-agm-vec,30,435,AGM,929.0,32,929,0.096867,900
malo-agm-vec,31,465,AGM,991.0,33,991,0.106493,961
malo-agm-vec,32,496,AGM,1055.0,34,1055,0.105513,1024
malo-agm-vec,33,528,AGM,1121.0,35,1121,0.135869,1089
malo-agm-vec,34,561,AGM,1189.0,36,1189,0.115182,1156
malo-agm-vec,35,595,AGM,1259.0,37,1259,0.123618,1225
malo-agm-vec,36,630,AGM,1331.0,38,1331,0.124957,1296
malo-agm-vec,37,666,AGM,1405.0,39,1405,0.127874,1369
malo-agm-vec,38,703,AGM,1481.0,40,1481,0.130145,1444
malo-agm-vec,39,741,AGM,1559.0,41,1559,0.143031,1521
malo-agm-vec,40,780,AGM,1639.0,42,1639,0.147693,1600
malo-agm-vec,41,820,AGM,1721.0,43,1721,0.159537,1681
malo-agm-vec,42,861,AGM,1805.0,44,1805,0.153182,1764
malo-agm-vec,43,903,AGM,1891.0,45,1891,0.168958,1849
malo-agm-vec,44,946,AGM,1979.0,46,1979,0.17323,1936
malo-agm-vec,45,990,AGM,2069.0,47,2069,0.198469,2025
malo-agm-vec,46,1035,AGM,2161.0,48,2161,0.198862,2116
malo-agm-vec,47,1081,AGM,2255.0,49,2255,0.182664,2209
malo-agm-vec,48,1128,AGM,2351.0,50,2351,0.207699,2304
malo-agm-vec,49,1176,AGM,2449.0,51,2449,0.201416,2401
malo-agm-vec,50,1225,AGM,2549.0,52,2549,0.202922,2500
malo-agm-vec,51,1275,AGM,2651.0,53,2651,0.222226,2601
malo-agm-vec,52,1326,AGM,2755.0,54,2755,0.305634,2704
malo-agm-vec,53,1378,AGM,2861.0,55,2861,0.233502,2809
malo-agm-vec,54,1431,AGM,2969.0,56,2969,0.233307,2916
malo-agm-vec,55,1485,AGM,3079.0,57,3079,0.25114,3025
malo-agm-vec,56,1540,AGM,3191.0,58,3191,0.24947,3136
malo-agm-vec,57,1596,AGM,3305.0,59,3305,0.255119,3249
malo-agm-vec,58,1653,AGM,3421.0,60,3421,0.270083,3364
malo-agm-vec,59,1711,AGM,3539.0,61,3539,0.268164,3481
malo-agm-vec,60,1770,AGM,3659.0,62,3659,0.295097,3600
malo-agm-vec,61,1830,AGM,3781.0,63,3781,0.287843,3721
malo-agm-vec,62,1891,AGM,3905.0,64,3905,0.307377,3844
malo-agm-vec,63,1953,AGM,4031.0,65,4031,0.344629,3969
malo-agm-vec,64,2016,AGM,4159.0,66,4159,0.332854,4096
malo-agm-vec,65,2080,AGM,4289.0,67,4289,0.328715,4225
malo-agm-vec,66,2145,AGM,4421.0,68,4421,0.33595,4356
malo-agm-vec,67,2211,AGM,4555.0,69,4555,0.38816,4489
malo-agm-vec,68,2278,AGM,4691.0,70,4691,0.356472,4624
malo-agm-vec,69,2346,AGM,4829.0,71,4829,0.358925,4761
malo-agm-vec,70,2415,AGM,4969.0,72,4969,0.384624,4900
malo-agm-vec,71,2485,AGM,5111.0,73,5111,0.485041,5041
malo-agm-vec,72,2556,AGM,5255.0,74,5255,0.409595,5184
malo-agm-vec,73,2628,AGM,5401.0,75,5401,0.405917,5329
malo-agm-vec,74,2701,AGM,5549.0,76,5549,0.455245,5476
malo-agm-vec,75,2775,AGM,5699.0,77,5699,0.432361,5625
malo-agm-vec,76,2850,AGM,5851.0,78,5851,0.47387,5776
malo-agm-vec,77,2926,AGM,6005.0,79,6005,0.447315,5929
malo-agm-vec,78,3003,AGM,6161.0,80,6161,0.484882,6084
malo-agm-vec,79,3081,AGM,6319.0,81,6319,0.482093,6241
malo-agm-vec,80,3160,AGM,6479.0,82,6479,0.522448,6400
malo-agm-vec,81,3240,AGM,6641.0,83,6641,0.461789,6561
malo-agm-vec,82,3321,AGM,6805.0,84,6805,0.517383,6724
malo-agm-vec,83,3403,AGM,6971.0,85,6971,0.505866,6889
malo-agm-vec,84,3486,AGM,7139.0,86,7139,0.737146,7056
malo-agm-vec,85,3570,AGM,7309.0,87,7309,0.534931,7225
malo-agm-vec,86,3655,AGM,7481.0,88,7481,0.541168,7396
malo-agm-vec,87,3741,AGM,7655.0,89,7655,0.546882,7569
malo-agm-vec,88,3828,AGM,7831.0,90,7831,0.542712,7744
malo-agm-vec,89,3916,AGM,8009.0,91,8009,0.560353,7921
malo-agm-vec,90,4005,AGM,8189.0,92,8189,0.59822,8100
malo-agm-vec,91,4095,AGM,8371.0,93,8371,0.794238,8281
malo-agm-vec,92,4186,AGM,8555.0,94,8555,0.606777,8464
malo-agm-vec,93,4278,AGM,8741.0,95,8741,0.642751,8649
malo-agm-vec,94,4371,AGM,8929.0,96,8929,0.662271,8836
malo-agm-vec,95,4465,AGM,9119.0,97,9119,0.635555,9025
malo-agm-vec,96,4560,AGM,9311.0,98,9311,0.675379,9216
malo-agm-vec,97,4656,AGM,9505.0,99,9505,0.650709,9409
malo-agm-vec,98,4753,AGM,9701.0,100,9701,0.676817,9604
malo-agm-vec,99,4851,AGM,9899.0,101,9899,0.68574,9801
