dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones
aleatorias-complejidad,77,2926,AGM,1427.0,-,-,0.402014,-,-
aleatorias-complejidad,77,2926,TABU_A,293.0,-,-,214.716,3,5
aleatorias-complejidad,77,2926,TABU_S,224.0,-,-,49.9135,3,5
aleatorias-complejidad,78,3003,INS,473.0,-,-,3.57793,-,-
aleatorias-complejidad,78,3003,VEC,297.0,-,-,0.166678,-,-
aleatorias-complejidad,78,3003,AGM,1191.0,-,-,0.372011,-,-
aleatorias-complejidad,78,3003,TABU_A,268.0,-,-,263.888,3,5
aleatorias-complejidad,78,3003,TABU_S,199.0,-,-,53.5286,3,5
aleatorias-complejidad,79,3081,INS,470.0,-,-,3.94205,-,-
aleatorias-complejidad,79,3081,VEC,306.0,-,-,0.185571,-,-
aleatorias-complejidad,79,3081,AGM,1591.0,-,-,0.455629,-,-
aleatorias-complejidad,79,3081,TABU_A,250.0,-,-,243.207,3,5
aleatorias-complejidad,79,3081,TABU_S,202.0,-,-,54.5532,3,5
aleatorias-complejidad,80,3160,INS,424.0,-,-,3.87594,-,-
aleatorias-complejidad,80,3160,VEC,301.0,-,-,0.193469,-,-
aleatorias-complejidad,80,3160,AGM,1438.0,-,-,0.450053,-,-
aleatorias-complejidad,80,3160,TABU_A,257.0,-,-,247.311,3,5
aleatorias-complejidad,80,3160,TABU_S,204.0,-,-,55.42,3,5
aleatorias-complejidad,81,3240,INS,390.0,-,-,3.92674,-,-
aleatorias-complejidad,81,3240,VEC,355.0,-,-,0.199829,-,-
aleatorias-complejidad,81,3240,AGM,1364.0,-,-,0.448543,-,-
aleatorias-complejidad,81,3240,TABU_A,285.0,-,-,268.682,3,5
aleatorias-complejidad,81,3240,TABU_S,182.0,-,-,58.7012,3,5
aleatorias-complejidad,82,3321,INS,435.0,-,-,4.49581,-,-
aleatorias-complejidad,82,3321,VEC,324.0,-,-,0.191173,-,-
aleatorias-complejidad,82,3321,AGM,1516.0,-,-,0.450762,-,-
aleatorias-complejidad,82,3321,TABU_A,256.0,-,-,256.365,3,5
aleatorias-complejidad,82,3321,TABU_S,169.0,-,-,57.1001,3,5
aleatorias-complejidad,83,3403,INS,513.0,-,-,4.44585,-,-
aleatorias-complejidad,83,3403,VEC,360.0,-,-,0.190905,-,-
aleatorias-complejidad,83,3403,AGM,1529.0,-,-,0.450975,-,-
aleatorias-complejidad,83,3403,TABU_A,299.0,-,-,261.493,3,5
aleatorias-complejidad,83,3403,TABU_S,227.0,-,-,61.6199,3,5
aleatorias-complejidad,84,3486,INS,525.0,-,-,4.4724,-,-
aleatorias-complejidad,84,3486,VEC,360.0,-,-,0.189854,-,-
aleatorias-complejidad,84,3486,AGM,1532.0,-,-,0.438649,-,-
aleatorias-complejidad,84,3486,TABU_A,305.0,-,-,275.594,3,5
aleatorias-complejidad,84,3486,TABU_S,231.0,-,-,69.4656,3,5
aleatorias-complejidad,85,3570,INS,577.0,-,-,4.60603,-,-
aleatorias-complejidad,85,3570,VEC,343.0,-,-,0.202002,-,-
aleatorias-complejidad,85,3570,AGM,2081.0,-,-,0.459737,-,-
aleatorias-complejidad,85,3570,TABU_A,283.0,-,-,298.339,3,5
aleatorias-complejidad,85,3570,TABU_S,226.0,-,-,62.4621,3,5
aleatorias-complejidad,86,3655,INS,517.0,-,-,4.83993,-,-
aleatorias-complejidad,86,3655,VEC,323.0,-,-,0.206004,-,-
aleatorias-complejidad,86,3655,AGM,1460.0,-,-,0.467737,-,-
aleatorias-complejidad,86,3655,TABU_A,254.0,-,-,319.421,3,5
aleatorias-complejidad,86,3655,TABU_S,218.0,-,-,72.2902,3,5
aleatorias-complejidad,87,3741,INS,530.0,-,-,5.2781,-,-
aleatorias-complejidad,87,3741,VEC,385.0,-,-,0.21583,-,-
aleatorias-complejidad,87,3741,AGM,1900.0,-,-,0.504742,-,-
aleatorias-complejidad,87,3741,TABU_A,327.0,-,-,324.138,3,5
aleatorias-complejidad,87,3741,TABU_S,232.0,-,-,67.8152,3,5
aleatorias-complejidad,88,3828,INS,576.0,-,-,5.25901,-,-
aleatorias-complejidad,88,3828,VEC,327.0,-,-,0.205319,-,-
aleatorias-complejidad,88,3828,AGM,1772.0,-,-,0.492566,-,-
aleatorias-complejidad,88,3828,TABU_A,288.0,-,-,353.742,3,5
aleatorias-complejidad,88,3828,TABU_S,205.0,-,-,69.9905,3,5
aleatorias-complejidad,89,3916,INS,468.0,-,-,5.15372,-,-
aleatorias-complejidad,89,3916,VEC,367.0,-,-,0.261572,-,-
aleatorias-complejidad,89,3916,AGM,1840.0,-,-,0.511101,-,-
aleatorias-complejidad,89,3916,TABU_A,305.0,-,-,339.756,3,5
aleatorias-complejidad,89,3916,TABU_S,255.0,-,-,76.5621,3,5
aleatorias-complejidad,90,4005,INS,506.0,-,-,6.65711,-,-
aleatorias-complejidad,90,4005,VEC,375.0,-,-,0.265766,-,-
aleatorias-complejidad,90,4005,AGM,1731.0,-,-,0.605482,-,-
aleatorias-complejidad,90,4005,TABU_A,311.0,-,-,346.522,3,5
aleatorias-complejidad,90,4005,TABU_S,211.0,-,-,80.0326,3,5
aleatorias-complejidad,91,4095,INS,558.0,-,-,5.42909,-,-
aleatorias-complejidad,91,4095,VEC,451.0,-,-,0.213078,-,-
aleatorias-complejidad,91,4095,AGM,1692.0,-,-,0.503003,-,-
aleatorias-complejidad,91,4095,TABU_A,396.0,-,-,359.388,3,5
aleatorias-complejidad,91,4095,TABU_S,301.0,-,-,73.2902,3,5
aleatorias-complejidad,92,4186,INS,620.0,-,-,5.48581,-,-
aleatorias-complejidad,92,4186,VEC,345.0,-,-,0.223435,-,-
aleatorias-complejidad,92,4186,AGM,1723.0,-,-,0.515337,-,-
aleatorias-complejidad,92,4186,TABU_A,314.0,-,-,371.047,3,5
aleatorias-complejidad,92,4186,TABU_S,250.0,-,-,77.2653,3,5
aleatorias-complejidad,93,4278,INS,521.0,-,-,5.91335,-,-
aleatorias-complejidad,93,4278,VEC,359.0,-,-,0.227373,-,-
aleatorias-complejidad,93,4278,AGM,2086.0,-,-,0.567859,-,-
aleatorias-complejidad,93,4278,TABU_A,293.0,-,-,377.876,3,5
aleatorias-complejidad,93,4278,TABU_S,210.0,-,-,90.8754,3,5
aleatorias-complejidad,94,4371,INS,547.0,-,-,7.40156,-,-
aleatorias-complejidad,94,4371,VEC,352.0,-,-,0.253651,-,-
aleatorias-complejidad,94,4371,AGM,1983.0,-,-,0.606086,-,-
aleatorias-complejidad,94,4371,TABU_A,294.0,-,-,402.728,3,5
aleatorias-complejidad,94,4371,TABU_S,248.0,-,-,83.7073,3,5
aleatorias-complejidad,95,4465,INS,549.0,-,-,6.238,-,-
aleatorias-complejidad,95,4465,VEC,323.0,-,-,0.242838,-,-
aleatorias-complejidad,95,4465,AGM,1815.0,-,-,0.544285,-,-
aleatorias-complejidad,95,4465,TABU_A,261.0,-,-,411.977,3,5
aleatorias-complejidad,95,4465,TABU_S,195.0,-,-,91.3552,3,5
aleatorias-complejidad,96,4560,INS,587.0,-,-,6.37646,-,-
aleatorias-complejidad,96,4560,VEC,469.0,-,-,0.249221,-,-
aleatorias-complejidad,96,4560,AGM,2156.0,-,-,0.566659,-,-
aleatorias-complejidad,96,4560,TABU_A,396.0,-,-,436.686,3,5
aleatorias-complejidad,96,4560,TABU_S,286.0,-,-,92.8737,3,5
aleatorias-complejidad,97,4656,INS,528.0,-,-,6.28293,-,-
aleatorias-complejidad,97,4656,VEC,352.0,-,-,0.238734,-,-
aleatorias-complejidad,97,4656,AGM,1828.0,-,-,0.583982,-,-
aleatorias-complejidad,97,4656,TABU_A,301.0,-,-,436.256,3,5
aleatorias-complejidad,97,4656,TABU_S,236.0,-,-,95.7108,3,5
aleatorias-complejidad,98,4753,INS,590.0,-,-,6.76219,-,-
aleatorias-complejidad,98,4753,VEC,437.0,-,-,0.24496,-,-
aleatorias-complejidad,98,4753,AGM,2121.0,-,-,0.627138,-,-
aleatorias-complejidad,98,4753,TABU_A,377.0,-,-,470.711,3,5
aleatorias-complejidad,98,4753,TABU_S,288.0,-,-,99.8287,3,5
aleatorias-complejidad,99,4851,INS,592.0,-,-,7.18349,-,-
aleatorias-complejidad,99,4851,VEC,407.0,-,-,0.258693,-,-
aleatorias-complejidad,99,4851,AGM,1799.0,-,-,0.63678,-,-
aleatorias-complejidad,99,4851,TABU_A,335.0,-,-,456.826,3,5
aleatorias-complejidad,99,4851,TABU_S,251.0,-,-,99.84,3,5
aleatorias-complejidad,100,4950,INS,587.0,-,-,6.93663,-,-
aleatorias-complejidad,100,4950,VEC,380.0,-,-,0.312736,-,-
aleatorias-complejidad,100,4950,AGM,1805.0,-,-,0.613689,-,-
aleatorias-complejidad,100,4950,TABU_A,306.0,-,-,500.709,3,5
aleatorias-complejidad,100,4950,TABU_S,267.0,-,-,99.9581,3,5
aleatorias-complejidad,101,5050,INS,614.0,-,-,6.97431,-,-
aleatorias-complejidad,101,5050,VEC,452.0,-,-,0.325757,-,-
aleatorias-complejidad,101,5050,AGM,2521.0,-,-,0.629692,-,-
aleatorias-complejidad,101,5050,TABU_A,380.0,-,-,475.222,3,5
aleatorias-complejidad,101,5050,TABU_S,262.0,-,-,102.664,3,5
aleatorias-complejidad,102,5151,INS,559.0,-,-,7.17453,-,-
aleatorias-complejidad,102,5151,VEC,465.0,-,-,0.25086,-,-
aleatorias-complejidad,102,5151,AGM,2561.0,-,-,0.680452,-,-
aleatorias-complejidad,102,5151,TABU_A,384.0,-,-,478.99,3,5
aleatorias-complejidad,102,5151,TABU_S,237.0,-,-,99.3349,3,5
aleatorias-complejidad,103,5253,INS,647.0,-,-,7.19728,-,-
aleatorias-complejidad,103,5253,VEC,392.0,-,-,0.24343,-,-
aleatorias-complejidad,103,5253,AGM,2277.0,-,-,0.617913,-,-
aleatorias-complejidad,103,5253,TABU_A,368.0,-,-,491.37,3,5
aleatorias-complejidad,103,5253,TABU_S,288.0,-,-,104.037,3,5
aleatorias-complejidad,104,5356,INS,640.0,-,-,7.40024,-,-
aleatorias-complejidad,104,5356,VEC,536.0,-,-,0.2579,-,-
aleatorias-complejidad,104,5356,AGM,3279.0,-,-,0.599169,-,-
aleatorias-complejidad,104,5356,TABU_A,466.0,-,-,498.003,3,5
aleatorias-complejidad,104,5356,TABU_S,284.0,-,-,104.822,3,5
aleatorias-complejidad,105,5460,INS,738.0,-,-,7.44273,-,-
aleatorias-complejidad,105,5460,VEC,570.0,-,-,0.258875,-,-
aleatorias-complejidad,105,5460,AGM,2471.0,-,-,0.648855,-,-
aleatorias-complejidad,105,5460,TABU_A,503.0,-,-,524.496,3,5
aleatorias-complejidad,105,5460,TABU_S,347.0,-,-,110.507,3,5
aleatorias-complejidad,106,5565,INS,726.0,-,-,7.64922,-,-
aleatorias-complejidad,106,5565,VEC,487.0,-,-,0.278064,-,-
aleatorias-complejidad,106,5565,AGM,2529.0,-,-,0.657897,-,-
aleatorias-complejidad,106,5565,TABU_A,435.0,-,-,545.557,3,5
aleatorias-complejidad,106,5565,TABU_S,330.0,-,-,113.843,3,5
aleatorias-complejidad,107,5671,INS,673.0,-,-,8.01039,-,-
aleatorias-complejidad,107,5671,VEC,521.0,-,-,0.263337,-,-
aleatorias-complejidad,107,5671,AGM,2946.0,-,-,0.65707,-,-
aleatorias-complejidad,107,5671,TABU_A,426.0,-,-,573.938,3,5
aleatorias-complejidad,107,5671,TABU_S,327.0,-,-,114.742,3,5
aleatorias-complejidad,108,5778,INS,780.0,-,-,8.73179,-,-
aleatorias-complejidad,108,5778,VEC,622.0,-,-,0.276652,-,-
aleatorias-complejidad,108,5778,AGM,2579.0,-,-,0.715317,-,-
aleatorias-complejidad,108,5778,TABU_A,541.0,-,-,609.336,3,5
aleatorias-complejidad,108,5778,TABU_S,405.0,-,-,116.99,3,5
aleatorias-complejidad,109,5886,INS,722.0,-,-,8.35677,-,-
aleatorias-complejidad,109,5886,VEC,384.0,-,-,0.277471,-,-
aleatorias-complejidad,109,5886,AGM,2223.0,-,-,0.689065,-,-
aleatorias-complejidad,109,5886,TABU_A,353.0,-,-,590.461,3,5
aleatorias-complejidad,109,5886,TABU_S,286.0,-,-,119.326,3,5
