dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.25683,56,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.27345,57,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.25687,58,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.2618,59,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.41587,60,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.4082,61,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.58437,62,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.49015,63,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.23508,64,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.21984,65,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.49302,66,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.38016,67,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.34652,68,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.67472,69,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.53018,70,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.47706,71,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.25167,72,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.18225,73,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.4023,74,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.28674,75,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.22886,76,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.60928,77,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.20765,78,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.28785,79,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.36292,80,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.50927,81,15,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.2598,82,15,1.0
