dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,130,8385,TABU_S,6416.0,6110,0.05008183306055646,542.04,130,20,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7243.46,130,20,0.8
instancias-tsplib,130,8385,TABU_S,6535.0,6110,0.06955810147299508,639.599,130,20,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,8974.88,130,20,1.0
instancias-tsplib,130,8385,TABU_S,6480.0,6110,0.060556464811783964,748.636,130,20,1.0
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,1783.09,130,18,0.2
instancias-tsplib,130,8385,TABU_S,6697.0,6110,0.0960720130932897,295.047,130,18,0.2
instancias-tsplib,130,8385,TABU_A,7467.0,6110,0.2220949263502455,3361.98,130,18,0.4
instancias-tsplib,130,8385,TABU_S,6599.0,6110,0.08003273322422258,384.77,130,18,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4939.12,130,18,0.6
instancias-tsplib,130,8385,TABU_S,6576.0,6110,0.0762684124386252,475.81,130,18,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,6537.15,130,18,0.8
instancias-tsplib,130,8385,TABU_S,6527.0,6110,0.06824877250409166,571.737,130,18,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,8108.62,130,18,1.0
instancias-tsplib,130,8385,TABU_S,6495.0,6110,0.0630114566284779,673.914,130,18,1.0
instancias-tsplib,130,8385,TABU_A,7505.0,6110,0.22831423895253683,1584.82,130,16,0.2
instancias-tsplib,130,8385,TABU_S,6735.0,6110,0.10229132569558101,261.426,130,16,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,2988.06,130,16,0.4
instancias-tsplib,130,8385,TABU_S,6568.0,6110,0.07495908346972177,342.198,130,16,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4381.73,130,16,0.6
instancias-tsplib,130,8385,TABU_S,6624.0,6110,0.08412438625204582,422.492,130,16,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,5799.03,130,16,0.8
instancias-tsplib,130,8385,TABU_S,6605.0,6110,0.08101472995090016,502.733,130,16,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7183.62,130,16,1.0
instancias-tsplib,130,8385,TABU_S,6506.0,6110,0.06481178396072013,601.354,130,16,1.0
instancias-tsplib,130,8385,TABU_A,7491.0,6110,0.2260229132569558,1395.93,130,14,0.2
instancias-tsplib,130,8385,TABU_S,6686.0,6110,0.09427168576104747,225.946,130,14,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,2628.11,130,14,0.4
instancias-tsplib,130,8385,TABU_S,6590.0,6110,0.07855973813420622,295.459,130,14,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3833.17,130,14,0.6
instancias-tsplib,130,8385,TABU_S,6548.0,6110,0.07168576104746317,370.861,130,14,0.6
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,5056.47,130,14,0.8
