dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,14,91,TABU_A,3769.0,3323,0.13421606981643094,4.19159,14,30,0.2
instancias-tsplib,14,91,TABU_S,3496.0,3323,0.052061390309960875,2.32941,14,30,0.2
instancias-tsplib,14,91,TABU_A,3551.0,3323,0.06861269936804093,6.38044,14,30,0.4
instancias-tsplib,14,91,TABU_S,3336.0,3323,0.003912127595546194,2.83546,14,30,0.4
instancias-tsplib,14,91,TABU_A,3381.0,3323,0.017454107733975325,8.81455,14,30,0.6
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.39313,14,30,0.6
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,11.2228,14,30,0.8
instancias-tsplib,14,91,TABU_S,3336.0,3323,0.003912127595546194,3.77531,14,30,0.8
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,13.3046,14,30,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,4.49525,14,30,1.0
instancias-tsplib,14,91,TABU_A,3814.0,3323,0.14775804995486005,3.8112,14,28,0.2
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,2.06931,14,28,0.2
instancias-tsplib,14,91,TABU_A,3381.0,3323,0.017454107733975325,5.95948,14,28,0.4
instancias-tsplib,14,91,TABU_S,3394.0,3323,0.021366235329521515,2.5295,14,28,0.4
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,8.74205,14,28,0.6
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.08729,14,28,0.6
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,10.6828,14,28,0.8
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.76705,14,28,0.8
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,12.6998,14,28,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,4.27982,14,28,1.0
instancias-tsplib,14,91,TABU_A,3769.0,3323,0.13421606981643094,3.72688,14,26,0.2
instancias-tsplib,14,91,TABU_S,3704.0,3323,0.11465543183869997,1.97118,14,26,0.2
instancias-tsplib,14,91,TABU_A,3572.0,3323,0.07493229009930785,5.66043,14,26,0.4
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.52335,14,26,0.4
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,7.44727,14,26,0.6
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.02338,14,26,0.6
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,10.023,14,26,0.8
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.6077,14,26,0.8
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,11.5814,14,26,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.90915,14,26,1.0
instancias-tsplib,14,91,TABU_A,3455.0,3323,0.039723141739392114,3.3387,14,24,0.2
instancias-tsplib,14,91,TABU_S,3668.0,3323,0.10382184772795666,2.00276,14,24,0.2
instancias-tsplib,14,91,TABU_A,3381.0,3323,0.017454107733975325,5.03374,14,24,0.4
instancias-tsplib,14,91,TABU_S,3442.0,3323,0.03581101414384592,2.29028,14,24,0.4
instancias-tsplib,14,91,TABU_A,3439.0,3323,0.03490821546795065,7.00033,14,24,0.6
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.6821,14,24,0.6
instancias-tsplib,14,91,TABU_A,3381.0,3323,0.017454107733975325,8.66911,14,24,0.8
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.01835,14,24,0.8
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,10.4352,14,24,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.58429,14,24,1.0
instancias-tsplib,14,91,TABU_A,3686.0,3323,0.10923863978332832,3.04239,14,22,0.2
instancias-tsplib,14,91,TABU_S,3814.0,3323,0.14775804995486005,1.66869,14,22,0.2
instancias-tsplib,14,91,TABU_A,3727.0,3323,0.12157688835389709,4.55518,14,22,0.4
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,2.01633,14,22,0.4
instancias-tsplib,14,91,TABU_A,3490.0,3323,0.05025579295817033,7.29362,14,22,0.6
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.7149,14,22,0.6
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,8.19722,14,22,0.8
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.8248,14,22,0.8
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,9.76675,14,22,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.37002,14,22,1.0
instancias-tsplib,14,91,TABU_A,3814.0,3323,0.14775804995486005,2.90349,14,20,0.2
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,1.58359,14,20,0.2
instancias-tsplib,14,91,TABU_A,3845.0,3323,0.15708696960577792,4.35283,14,20,0.4
instancias-tsplib,14,91,TABU_S,3394.0,3323,0.021366235329521515,1.92999,14,20,0.4
instancias-tsplib,14,91,TABU_A,3490.0,3323,0.05025579295817033,5.93168,14,20,0.6
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.20937,14,20,0.6
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,7.22448,14,20,0.8
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,2.48353,14,20,0.8
instancias-tsplib,14,91,TABU_A,3371.0,3323,0.014444778814324405,8.79437,14,20,1.0
instancias-tsplib,14,91,TABU_S,3371.0,3323,0.014444778814324405,3.2441,14,20,1.0
instancias-tsplib,14,91,TABU_A,4048.0,3323,0.21817634667469155,2.47511,14,18,0.2
instancias-tsplib,14,91,TABU_S,3500.0,3323,0.053265121877821245,1.44837,14,18,0.2
instancias-tsplib,14,91,TABU_A,3535.0,3323,0.06379777309659945,3.87595,14,18,0.4
